Designator,Mid X,Mid Y,Rotation,Layer
C1,151.13,-88.9,270.0,bottom
C2,151.13,-81.28,270.0,bottom
C3,143.51,-106.68,270.0,bottom
C4,151.13,-114.3,270.0,bottom
C5,143.51,-123.19,90.0,bottom
C6,152.4,-77.47,270.0,bottom
D1,143.51,-101.6,270.0,bottom
J1,147.33,-100.33,0.0,top
R1,142.875,-96.52,270.0,bottom
RN1,146.685,-96.52,0.0,bottom
RN2,151.13,-96.52,0.0,bottom
U1,146.05,-88.9,0.0,bottom
U2,146.05,-78.74,0.0,bottom
U3,148.59,-105.41,180.0,bottom
U4,146.05,-114.3,0.0,bottom
U5,148.59,-123.19,180.0,bottom
U6,147.32,-101.6,0.0,top
